event_id,create_time,close_time,duration,crash_count_900ft,crash_count_1800ft,roadway_type,number_total_lane,street_width,posted_speed,crash_count_2700ft,crash_count_3600ft,daylight_duration,nightlight_duration,day_of_week,peak_duration,peak_ratio,daylight_duration,nightlight_duration,daylight_ratio
24343,2018-06-11 09:02:00,2018-06-11 12:49:00,3.783333333333333,0,1,Highway,3,32.0,50,1,1,3.783333333333333,0.0,Monday,0.0,0.0,3.783333333333333,0.0,1.0
24344,2018-06-11 09:00:00,2018-06-11 14:08:00,5.133333333333334,0,0,Highway,4,48.0,50,1,2,5.133333333333334,0.0,Monday,0.0,0.0,5.133333333333334,0.0,1.0
24345,2018-06-11 08:37:00,2018-06-11 14:08:00,5.516666666666667,2,3,Street,2,34.0,35,4,6,5.516666666666667,0.0,Monday,0.36666666666666664,0.06646525679758308,5.516666666666667,0.0,1.0
24346,2018-06-11 00:38:00,2018-06-11 05:32:00,4.9,0,0,Street,3,30.0,25,0,0,0.0,4.9,Monday,0.0,0.0,0.0,4.9,0.0
24347,2018-06-10 20:01:00,2018-06-10 21:17:00,1.2666666666666666,0,0,Street,4,44.0,25,0,0,0.0,1.2666666666666666,Sunday,0.0,0.0,0.0,1.2666666666666666,0.0
24349,2018-06-10 20:01:00,2018-06-10 21:17:00,1.2666666666666666,0,0,Street,4,34.0,25,0,0,0.0,1.2666666666666666,Sunday,0.0,0.0,0.0,1.2666666666666666,0.0
24350,2018-06-10 20:01:00,2018-06-10 21:17:00,1.2666666666666666,0,0,Street,4,44.0,25,0,0,0.0,1.2666666666666666,Sunday,0.0,0.0,0.0,1.2666666666666666,0.0
24351,2018-06-09 02:51:00,2018-06-09 06:36:00,3.75,0,0,Tunnel,2,40.0,40,0,0,0.6166666666666667,3.1333333333333333,Saturday,0.0,0.0,0.6166666666666667,3.1333333333333333,0.16444444444444445
24352,2018-06-09 01:08:00,2018-06-09 12:53:00,11.75,0,0,Highway,3,34.0,50,0,1,6.9,4.85,Saturday,2.0,0.1702127659574468,6.9,4.85,0.5872340425531916
24353,2018-06-09 01:04:00,2018-06-09 04:35:00,3.5166666666666666,1,1,Highway,3,30.0,45,1,1,0.0,3.5166666666666666,Saturday,0.0,0.0,0.0,3.5166666666666666,0.0
24354,2018-06-08 23:22:00,2018-06-09 05:32:00,6.166666666666667,0,0,Highway,3,-1.0,45,0,0,0.0,6.166666666666667,Friday,0.0,0.0,0.0,6.166666666666667,0.0
24355,2018-06-08 23:16:00,2018-06-09 04:24:00,5.133333333333334,0,0,Street,4,40.0,25,2,3,0.0,5.133333333333334,Friday,0.0,0.0,0.0,5.133333333333334,0.0
24356,2018-06-08 20:56:00,2018-06-09 05:32:00,8.6,1,1,Highway,3,32.0,50,2,2,0.0,8.6,Friday,0.0,0.0,0.0,8.6,0.0
24359,2018-06-07 23:37:00,2018-06-08 05:17:00,5.666666666666667,1,1,Highway,3,30.0,45,1,1,0.0,5.666666666666667,Thursday,0.0,0.0,0.0,5.666666666666667,0.0
24360,2018-06-07 23:16:00,2018-06-08 04:13:00,4.95,0,0,Street,4,40.0,25,1,1,0.0,4.95,Thursday,0.0,0.0,0.0,4.95,0.0
24361,2018-06-07 23:09:00,2018-06-08 00:24:00,1.25,0,1,Highway,3,35.0,45,2,2,0.0,1.25,Thursday,0.0,0.0,0.0,1.25,0.0
24362,2018-06-07 22:55:00,2018-06-08 04:52:00,5.95,0,0,Street,2,42.0,25,0,0,0.0,5.95,Thursday,0.0,0.0,0.0,5.95,0.0
24363,2018-06-07 20:53:00,2018-06-08 04:15:00,7.366666666666666,0,0,Highway,3,32.0,50,0,0,0.0,7.366666666666666,Thursday,0.0,0.0,0.0,7.366666666666666,0.0
24364,2018-06-07 09:40:00,2018-06-07 13:17:00,3.6166666666666667,0,0,Street,3,30.0,25,0,0,3.6166666666666667,0.0,Thursday,0.0,0.0,3.6166666666666667,0.0,1.0
24365,2018-06-06 23:41:00,2018-06-07 04:48:00,5.116666666666666,0,1,Street,4,40.0,25,2,3,0.0,5.116666666666666,Wednesday,0.0,0.0,0.0,5.116666666666666,0.0
24366,2018-06-06 23:19:00,2018-06-07 04:48:00,5.483333333333333,0,0,Street,2,42.0,25,0,0,0.0,5.483333333333333,Wednesday,0.0,0.0,0.0,5.483333333333333,0.0
