hour,id,count
8,7cb190ba478b6f1b335ae8a6fbaf75c4,0.0
9,7cb190ba478b6f1b335ae8a6fbaf75c4,0.0
10,7cb190ba478b6f1b335ae8a6fbaf75c4,0.0
11,7cb190ba478b6f1b335ae8a6fbaf75c4,0.0
12,7cb190ba478b6f1b335ae8a6fbaf75c4,0.0
13,7cb190ba478b6f1b335ae8a6fbaf75c4,1.0
14,7cb190ba478b6f1b335ae8a6fbaf75c4,0.0
15,7cb190ba478b6f1b335ae8a6fbaf75c4,0.0
16,7cb190ba478b6f1b335ae8a6fbaf75c4,1.0
17,7cb190ba478b6f1b335ae8a6fbaf75c4,1.0
18,7cb190ba478b6f1b335ae8a6fbaf75c4,0.0
19,7cb190ba478b6f1b335ae8a6fbaf75c4,0.0
20,7cb190ba478b6f1b335ae8a6fbaf75c4,0.0
21,7cb190ba478b6f1b335ae8a6fbaf75c4,0.0
22,7cb190ba478b6f1b335ae8a6fbaf75c4,1.0
23,7cb190ba478b6f1b335ae8a6fbaf75c4,0.0
0,7cb6364b7561154248556b820673c102,7.0
1,7cb6364b7561154248556b820673c102,1.0
2,7cb6364b7561154248556b820673c102,1.0
3,7cb6364b7561154248556b820673c102,1.0
4,7cb6364b7561154248556b820673c102,0.0
5,7cb6364b7561154248556b820673c102,2.0
6,7cb6364b7561154248556b820673c102,5.0
7,7cb6364b7561154248556b820673c102,2.0
8,7cb6364b7561154248556b820673c102,5.0
9,7cb6364b7561154248556b820673c102,7.0
10,7cb6364b7561154248556b820673c102,1.0
11,7cb6364b7561154248556b820673c102,3.0
12,7cb6364b7561154248556b820673c102,3.0
13,7cb6364b7561154248556b820673c102,4.0
14,7cb6364b7561154248556b820673c102,6.0
15,7cb6364b7561154248556b820673c102,4.0
16,7cb6364b7561154248556b820673c102,6.0
17,7cb6364b7561154248556b820673c102,12.0
18,7cb6364b7561154248556b820673c102,6.0
19,7cb6364b7561154248556b820673c102,5.0
20,7cb6364b7561154248556b820673c102,4.0
21,7cb6364b7561154248556b820673c102,2.0
22,7cb6364b7561154248556b820673c102,4.0
23,7cb6364b7561154248556b820673c102,2.0
0,7cf3f3f864418f0bf8f22338fa59b0a5,0.0
1,7cf3f3f864418f0bf8f22338fa59b0a5,0.0
2,7cf3f3f864418f0bf8f22338fa59b0a5,0.0
3,7cf3f3f864418f0bf8f22338fa59b0a5,0.0
4,7cf3f3f864418f0bf8f22338fa59b0a5,0.0
5,7cf3f3f864418f0bf8f22338fa59b0a5,1.0
6,7cf3f3f864418f0bf8f22338fa59b0a5,0.0
7,7cf3f3f864418f0bf8f22338fa59b0a5,1.0
8,7cf3f3f864418f0bf8f22338fa59b0a5,0.0
9,7cf3f3f864418f0bf8f22338fa59b0a5,1.0
10,7cf3f3f864418f0bf8f22338fa59b0a5,0.0
11,7cf3f3f864418f0bf8f22338fa59b0a5,2.0
12,7cf3f3f864418f0bf8f22338fa59b0a5,0.0
13,7cf3f3f864418f0bf8f22338fa59b0a5,2.0
14,7cf3f3f864418f0bf8f22338fa59b0a5,1.0
