wz_id,segmentid,created_date,closed_date,created_season,closed_season,duration_days,purpose,geometry,length_ft
1745_0,[112229],2018-05-31,2018-08-11,spring,summer,72,"[""['Repair Gas', 'Repair Water - Sewer']""]","MULTILINESTRING ((953242.3499613325 156311.9559819437, 953221.5661451479 156286.1555347053, 953196.1529218134 156262.9894805854, 953166.6518836668 156243.625921027, 953134.0010233467 156229.0687580523, 953099.4245348357 156219.9906940371, 953064.3000143588 156216.6310314232, 953029.9760607011 156218.7963724089, 952997.6204751154 156225.9125187456))",277.1094365218845
1746_0,"[9004116 9004135 9004118 9004117   85609 9004114 9004141  177821 9004136
 9004137 9004139 9004145 9004142  263800 9004138 9004144 9008748  263801
  177820 9004134]",2018-05-31,2018-08-28,spring,summer,89,"[""['Dot In-House Paving']""]","MULTILINESTRING ((1026365.362669405 237403.1627064283, 1026341.37004369 237541.9275773927), (1026288.510149744 237844.684020589, 1026283.407702702 237873.2935108476), (1026336.566598516 237569.7094714443, 1026319.397837114 237669.0058927293), (1026341.37004369 237541.9275773927, 1026336.566598516 237569.7094714443), (1026226.152375136 238194.3178787285, 1026176.106118391 238471.0386132664), (1026369.570909015 237378.8235992058, 1026365.362669405 237403.1627064283), (1026239.860101364 238117.4605738089, 1026235.793863924 238140.2592862811), (1026313.689182052 237703.5069620736, 1026309.063139354 237729.4452625926), (1026283.407702702 237873.2935108476, 1026269.653975895 237950.4090149664), (1026269.653975895 237950.4090149664, 1026261.605301703 237995.5372417876), (1026246.319760873 238081.2423128473, 1026239.860101364 238117.4605738089), (1026228.852800002 238179.1771368714, 1026226.152375136 238194.3178787285), (1026235.793863924 238140.2592862811, 1026234.54365241 238147.2692593602), (1026448.923041946 236935.3324983425, 1026428.470053317 237049.1910620145), (1026261.605301703 237995.5372417876, 1026246.319760873 238081.2423128473), (1026234.54365241 238147.2692593602, 1026228.852800002 238179.1771368714), (1026377.646385028 237332.1181772034, 1026369.570909015 237378.8235992058), (1026428.470053317 237049.1910620145, 1026377.646385028 237332.1181772034), (1026319.397837114 237669.0058927293, 1026313.689182052 237703.5069620736), (1026309.063139354 237729.4452625926, 1026288.510149744 237844.684020589))",1559.7590263119155
1747_0,[27445],2018-06-01,2018-06-11,summer,summer,10,"[""['Occupancy Of Roadway As Stipulated', 'Occupancy Of Sidewalk As Stipulated', 'Place Crane Or Shovel On Street']""]","MULTILINESTRING ((997370.5304129039 169588.3787118914, 997481.4219082773 168827.4201610929))",768.995994644652
1748_0,[34210],2018-06-01,2018-06-17,summer,summer,16,"[""['Occupancy Of Roadway As Stipulated']""]","MULTILINESTRING ((989672.4702225348 216129.4543481912, 988886.4874273618 216564.4951179685))",898.3481650654652
1749_0,[78543],2018-06-01,2018-07-01,summer,summer,30,"[""['Occupancy Of Roadway As Stipulated', 'Place Crane Or Shovel On Street']""]","MULTILINESTRING ((1012553.110121546 247384.5436711026, 1012735.091812846 247816.7270431915))",468.93475354057136
174_0,[186619 186621 186622 186620],2017-04-28,2017-05-03,spring,spring,5,"[""['Dot In-House Paving']""]","MULTILINESTRING ((983934.8258859818 198013.0942393282, 984068.5642790064 197891.3732389337), (984215.7479484691 197752.0996526825, 984449.1418808871 197499.3297784226), (984449.1418808871 197499.3297784226, 984523.7590432904 197424.3621467387), (984068.5642790064 197891.3732389337, 984215.7479484691 197752.0996526825))",833.2852608792749
1750_0,[35821],2018-06-01,2018-07-15,summer,summer,44,"[""['Occupancy Of Roadway As Stipulated']""]","MULTILINESTRING ((990632.9222387954 214701.8875653394, 990882.6241635137 214563.431092243))",285.5192570568122
1751_0,[ 74237 109475],2018-06-01,2018-08-01,summer,summer,61,"[""['D.D.C. Contractor Major Reconstruction', 'Ddc Contractor Major Reconstruction-Prot']""]","MULTILINESTRING ((1013582.518656972 207005.0785993989, 1013643.676991172 206975.4299164383, 1013707.102523248 206950.4564531902, 1013772.247050252 206930.3974085512, 1013838.539769467 206915.4074810127), (1013558.08952214 207017.4441540695, 1013582.518656972 207005.0785993989))",299.6407494001305
1752_0,[37862],2018-06-02,2018-06-03,summer,summer,1,"[""['Occupancy Of Roadway As Stipulated', 'Occupancy Of Sidewalk As Stipulated', 'Place Crane Or Shovel On Street']""]","MULTILINESTRING ((998629.3264313957 221493.2810860791, 999281.7929369443 221132.8895905261))",745.382164349054
1753_0,"[  29366 9003021  165492   17643  165493  165565  130982  130977   29365
  165977  165566   30467  130980  130978  130981  130979 9003019 9003020]",2018-06-02,2018-06-04,summer,summer,2,"[""['Occupancy Of Roadway As Stipulated']""
 ""['Occupancy Of Roadway As Stipulated', 'Place Crane Or Shovel On Street']""
 ""['Occupancy Of Roadway As Stipulated', 'Occupancy Of Sidewalk As Stipulated', 'Place Crane Or Shovel On Street']""]","MULTILINESTRING ((994060.1438155773 189787.027752978, 994596.2925720004 189870.0648055573), (992551.094027192 230039.4606273767, 992312.0702294491 230173.5970499976), (992548.4147825446 218158.9584065476, 992965.2892381899 217928.0358489523), (977180.4646838309 171404.9518081743, 977891.4387321431 171028.5266704732), (992965.2892381899 217928.0358489523, 992994.7545695283 217911.5924077491), (993432.917802626 219754.8172399788, 993850.7501518532 219523.8454990591), (1024879.834531141 200047.299627425, 1024991.537685555 199993.9011107181), (1024506.162073073 200225.9368840419, 1024515.916121629 200221.2747085751), (994060.1438155773 189787.027752978, 994103.7405345463 189522.3457789464), (992706.7070774274 229952.6649209096, 992678.5507598117 229967.9337610981), (993850.7501518532 219523.8454990591, 993878.8703765495 219507.8976525654), (994009.2996609944 190054.3541085413, 994060.1438155773 189787.027752978), (1024394.301515823 200279.414202899, 1024506.162073073 200225.9368840419), (1024515.916121629 200221.2747085751, 1024776.461517656 200096.7153657898), (1024867.209768449 200053.3331954608, 1024879.834531141 200047.299627425), (1024776.461517656 200096.7153657898, 1024867.209768449 200053.3331954608), (992678.5507598117 229967.9337610981, 992574.613525443 230026.2616628133), (992574.613525443 230026.2616628133, 992551.094027192 230039.4606273767))",4021.6835060196613
