wz_id,segmentid,created_date,closed_date,created_season,closed_season,duration_days,purpose,geometry,length_ft,bounding_geometry,bounding_area
2794_0,[66350 66345 66354],2019-03-05,2019-07-27,winter,summer,144,"[""['Nys Dot-Construction', 'Place Equipment Other Than Crane Or Shov', 'Place Material On Street']""]","MULTILINESTRING ((1004645.167043554 205692.6668499274, 1004544.57350492 205487.403990698), (1004544.57350492 205487.403990698, 1004519.763584876 205422.7680106524, 1004488.406233317 205359.6003135788, 1004450.623048003 205298.8762028223, 1004406.728927587 205241.5501823048, 1004357.215371543 205188.5249564026, 1004302.762280487 205140.5918298042, 1004244.176455946 205098.3937071215, 1004182.366500329 205062.41029285, 1004118.307116881 205032.9171911024, 1004052.973109369 205010.0131054346), (1004749.651577665 205905.8696441238, 1004645.167043554 205692.6668499274))",1178.0624363111306,"POLYGON ((1004161.21125692 204925.8398214427, 1004857.889725216 205821.6963601318, 1004749.651577665 205905.8696441237, 1004052.973109369 205010.0131054346, 1004161.21125692 204925.8398214427))",155607.56678227067
2795_0,[76250],2019-03-06,2019-03-08,winter,winter,2,"[""['Occupancy Of Roadway As Stipulated', 'Place Crane Or Shovel On Street']""]","MULTILINESTRING ((1015642.806395318 215306.4043896427, 1015751.088022602 214532.2456161563))",781.6947725124205,"LINESTRING (1015642.806395318 215306.4043896427, 1015751.088022602 214532.2456161563)",0.0
2796_0,[23188],2019-03-06,2019-04-01,winter,spring,26,"[""['Occupancy Of Roadway As Stipulated']""]","MULTILINESTRING ((981013.4559222132 197835.2899026488, 980738.2605674714 198003.472087207))",322.51779869365396,"LINESTRING (981013.4559222132 197835.2899026488, 980738.2605674714 198003.472087207)",0.0
2797_0,[177175],2019-03-06,2019-05-01,winter,spring,56,"[""['Dep Contractor Major Installation Sewer']""]","MULTILINESTRING ((1026138.095164938 203072.2515199652, 1026694.221211789 203290.0683406523))",597.2607030102289,"LINESTRING (1026138.095164938 203072.2515199652, 1026694.221211789 203290.0683406523)",0.0
2798_0,[65818],2019-03-07,2019-03-09,winter,winter,2,"[""['Occupancy Of Roadway As Stipulated', 'Place Crane Or Shovel On Street']""]","MULTILINESTRING ((1000307.001727214 200205.0380141594, 1000849.249993432 200271.7821394352))",546.3405169626369,"LINESTRING (1000307.001727214 200205.0380141594, 1000849.249993432 200271.7821394352)",0.0
2799_0,[22728],2019-03-07,2019-03-14,winter,winter,7,"[""['Occupancy Of Roadway As Stipulated', 'Occupancy Of Sidewalk As Stipulated', 'Place Crane Or Shovel On Street']""]","MULTILINESTRING ((988009.294127487 181564.7838902696, 988664.2338161938 181148.6213828897))",775.9750178916797,"LINESTRING (988009.294127487 181564.7838902696, 988664.2338161938 181148.6213828897)",0.0
27_0,[162960 162959],2017-03-17,2017-06-15,winter,summer,90,"[""['Place Equipment Other Than Crane Or Shov']""]","MULTILINESTRING ((989224.4099793853 191140.9247798695, 989205.1023156196 191110.005985231), (989300.115137678 191262.1817425822, 989224.4099793853 191140.9247798695))",179.4014981110396,"POLYGON ((989205.1045682298 191110.0045787859, 989300.117390288 191262.1803361371, 989300.1151376779 191262.1817425822, 989205.1023156196 191110.005985231, 989205.1045682298 191110.0045787859))",0.476422971671854
2800_0,[271349 257407 271350],2019-03-08,2019-03-14,winter,winter,6,"[""['Occupancy Of Roadway As Stipulated', 'Occupancy Of Sidewalk As Stipulated', 'Place Crane Or Shovel On Street']""]","MULTILINESTRING ((990945.6457864214 216319.0240002779, 990605.9930703886 216506.073783431), (990401.7583601611 216618.5474892345, 990051.4966015652 216811.4394096175), (990605.9930703886 216506.073783431, 990401.7583601611 216618.5474892345))",1020.7721097944801,"POLYGON ((990945.645871455 216319.0241546856, 990051.4966865988 216811.4395640252, 990051.4966015652 216811.4394096175, 990945.6457864214 216319.0240002779, 990945.645871455 216319.0241546856))",0.17993536593891404
2802_0,[70168],2019-03-08,2019-06-01,winter,summer,85,"[""['Dep Contractor Major Installation Sewer']""]","MULTILINESTRING ((1007060.312727148 234521.0501331058, 1007604.700412871 234283.1566577038))",594.0970106019972,"LINESTRING (1007060.312727148 234521.0501331058, 1007604.700412871 234283.1566577038)",0.0
2803_0,[168509],2019-03-09,2019-03-10,winter,winter,1,"[""['Occupancy Of Roadway As Stipulated', 'Occupancy Of Sidewalk As Stipulated', 'Place Equipment Other Than Crane Or Shov']""]","MULTILINESTRING ((1016508.086220172 186370.9716683986, 1016640.745433165 185718.4326971775))",665.8870593081779,"LINESTRING (1016508.086220172 186370.9716683986, 1016640.745433165 185718.4326971775)",0.0
2805_0,[31921],2019-03-09,2019-03-17,winter,winter,8,"[""['Occupancy Of Roadway As Stipulated', 'Place Crane Or Shovel On Street']""]","MULTILINESTRING ((982745.6735498009 204462.6854835945, 982253.5705518458 204525.3524670515))",496.07712244362574,"LINESTRING (982745.6735498009 204462.6854835945, 982253.5705518458 204525.3524670515)",0.0
2807_0,[37317],2019-03-09,2019-06-01,winter,summer,84,"[""['Occupancy Of Roadway As Stipulated']""]","MULTILINESTRING ((992092.0706404137 226063.3300361063, 991304.8445941031 226498.8268038597))",899.6567582770247,"LINESTRING (992092.0706404137 226063.3300361063, 991304.8445941031 226498.8268038597)",0.0
2808_0,[23353],2019-03-09,2019-12-27,winter,winter,293,"[""['Conduit Construction And Franchise', 'Occupancy Of Roadway As Stipulated', 'Place Equipment Other Than Crane Or Shov']""]","MULTILINESTRING ((982561.4200185903 197917.183509735, 982822.7327703203 197739.7177578298))",315.8772662221156,"LINESTRING (982561.4200185903 197917.183509735, 982822.7327703203 197739.7177578298)",0.0
2809_0,[42972],2019-03-11,2019-03-16,winter,winter,5,"[""['Occupancy Of Roadway As Stipulated', 'Occupancy Of Sidewalk As Stipulated', 'Place Crane Or Shovel On Street']""]","MULTILINESTRING ((1000961.621667984 181810.5828613219, 1001732.27895834 181755.5730837075))",772.6181041187366,"LINESTRING (1000961.621667984 181810.5828613219, 1001732.27895834 181755.5730837075)",0.0
