event_id,wz_id,length_ft,crash_count
4115.0,1679_0,277.20519702082976,26
4207.0,1679_0,277.20519702082976,26
4233.0,1679_0,277.20519702082976,26
4270.0,1679_0,277.20519702082976,26
4282.0,1679_0,277.20519702082976,26
4338.0,1679_0,277.20519702082976,26
4353.0,1679_0,277.20519702082976,26
4424.0,1679_0,277.20519702082976,26
4128.0,1276_0,485.8458076249679,217
4130.0,1768_0,2141.0315006725286,18
4354.0,1703_0,2183.706878413671,14
4576.0,1579_0,3481.3362056432165,20
4591.0,1579_0,3481.3362056432165,20
4605.0,1579_0,3481.3362056432165,20
4607.0,1591_0,3433.549466548216,33
4680.0,1591_0,3433.549466548216,33
4669.0,1556_0,796.2470864578786,175
4696.0,2_0,1003.1045210969287,227
5794.0,2_0,1003.1045210969287,227
6027.0,2_0,1003.1045210969287,227
4697.0,463_0,191.73054687426486,190
4738.0,1550_0,1697.8904314628437,25
4758.0,1550_0,1697.8904314628437,25
4769.0,1548_0,663.7488488707,8
4779.0,1548_0,663.7488488707,8
4792.0,1548_0,663.7488488707,8
4797.0,1548_0,663.7488488707,8
4996.0,21_0,353.56897996866564,468
8487.0,21_0,353.56897996866564,468
5024.0,1493_0,710.0883234997957,179
5026.0,1355_0,296.3504686952241,146
5433.0,1160_0,917.6982998205417,82
5649.0,435_0,2221.536191275586,123
5976.0,435_0,2221.536191275586,123
