node_id,roadway_type,street_width,posted_speed,number_total,number_travel,number_park
009cb69ea8d05b0468fc3a68cbba95e6,Street,60.0,25,3,1,2
009d4516fbb7fccbd4c200c8f0a1d2d5,Street,30.0,25,3,1,2
009ec96de4729a62b69d7ac9942a19fc,Street,30.0,25,3,2,1
009f1a3c0e62a15971addcedef3643a9,Street,32.0,25,2,1,1
009fb86030e90a5c430c98b012c7fcfe,Street,50.0,25,4,3,-1
00a08529674f5f29e387f71c4308070e,Street,30.0,25,3,1,2
00a0c1c54d567eb89f9268ef41ce3909,Street,30.0,25,4,1,2
00a4b2184b21ec854be8c3b89d44edd5,Street,30.0,25,4,2,2
00a6f773c054ee4feb1da38f4432597f,Street,36.0,25,3,1,2
00a7b5700c4b67bee0641302fa31a593,Street,22.0,25,3,1,1
00a8acd0d3703847d9f2c5fbee846b6b,Street,60.0,25,6,4,2
00a8db340777de2fc2be8d3432c9bb31,Street,26.0,25,3,1,2
00aa9866c0babe9bdceb76a69bb6862c,Street,46.0,25,3,4,-1
00aac0ac211f6c65234bb2953e36298a,Street,30.0,25,3,1,2
00ab75d27ffe008469cd25b49e838e60,Street,58.0,25,4,2,2
00abca8cba5e622bf6274feeab379b1b,Street,44.0,25,4,1,2
00abf2c6595a2984e2d1b96c7f026742,Street,30.0,25,3,1,2
00ac0b2bc1cc8be4a15f5729a885e55e,Street,30.0,25,3,1,2
00ac32e4f84c9c1718b4b7e5d6abbfde,Street,20.0,25,2,1,1
00ad28cf7847a494a09b707dab42032e,Street,34.0,25,3,1,2
00af3cb23a68700bdf5129e53b9a5d27,Street,30.0,25,3,1,2
00aff10ab06f60570166292eb8290b6e,Street,30.0,30,-1,-1,-1
00b1215934b67effc0f551976bfd8e06,Street,36.0,25,3,1,1
00b13388cdbbf8d64700930ae519ffb8,Street,36.0,25,3,1,2
00b17c051e6135558389d5dbe8b91c64,Street,30.0,25,3,2,1
00b18660f0109c493fbe9b2ccce504f3,Street,30.0,25,4,2,2
00b297baea79e423054ae2c6c6a0752c,Street,40.0,25,4,2,2
00b51c678f1cb28a586c2337e3186a90,Street,38.0,25,3,1,2
00bb27014f65634b362baa607995ac4d,Street,44.0,25,3,1,2
00bc2b660158005b9c13e24ca1bf8fe6,Street,22.0,25,1,1,-1
00bc40b4babfa7563ebeed4ce4d32a2f,Street,44.0,25,4,2,2
00bce98fd5e82172ad785321c26a81bf,Highway,32.0,50,3,3,-1
00bdee7f93fdcfc9065efd8dcc2fa6fb,Street,30.0,25,3,1,2
00be2d72561d4587682b85c78efce7d7,Street,30.0,25,2,1,-1
00bfe3e54e2f2b308c56555f58887cd4,Street,22.0,-1,2,2,-1
00c3441cb08cd9642aaa12266e6631cf,Street,50.0,25,4,2,2
00c542e099cbf694d6ba199c62a3fcca,Street,34.0,30,3,1,1
00c6849b247a2b8916cf8cb230a62ada,Unknown,-1.0,-1,-1,-1,-1
00c68652ebb7903289404b2a71995414,Street,44.0,25,4,2,-1
00c82b570c8422def287edb2fad9b76b,Street,42.0,25,6,2,2
00c8c5eaabd2d1850820eda0e9873090,Street,44.0,25,4,2,2
00cadfbb32a466bc30e80131d8bb2095,Street,44.0,25,4,2,2
00cbdd1c63c73c7baeecacd6811d8196,Street,34.0,-1,3,1,2
00cc2cd0cc9328b2825a4dfff19bfea9,Street,30.0,25,3,1,2
00d1b398eb01c09c178589417481b455,Ramp,22.0,-1,1,1,-1
00d1e38b44dd0833fc135ce4d9513719,Street,30.0,-1,2,1,1
00d5568cb433a367c865a26833a5fe90,Street,40.0,25,4,2,2
00d6188af68748121353781be7b5b0fd,Street,48.0,25,3,2,1
00d770daeb7fbe5af1578220eb87e6ae,Street,30.0,25,3,1,2
00d7792dd06f3f3bea0923f256500295,Street,60.0,25,6,1,2
00d9cb7bcc5651120566085eac2ae9bf,Street,42.0,25,3,1,2
00db32c3ba4b08109fb2590899e4af76,Street,30.0,25,3,1,2
00dbd585b508fe5828e427827267bfc4,Street,30.0,25,3,1,2
00dc4f505ff07e73b3b4d84631affe79,Street,20.0,25,1,1,-1
00dc74bd1f50c8ca61ec9a3c8593bbaf,Street,30.0,25,3,1,2
00dcdc27fe24177b5065fab289ec918d,Street,30.0,25,2,1,1
00df6caad7badda5c4b346b6d667dd84,Street,30.0,25,2,1,1
00df8c0cb4cf8cbbd0455d6ca0221442,Street,30.0,25,3,1,1
00e418f326a8313f6f979dcbddbcf89d,Street,42.0,25,4,3,1
00e6be930ea753e046c15b8f168e4478,Street,28.0,25,3,1,2
00e744da5cffaff71fa6ed880d844725,Street,30.0,25,3,1,2
00e8a7f01c53a5e24d1bcde1d20f5b24,Street,32.0,25,3,1,2
00e8ebaf23a4e10612c75f6d2ea92ff7,Street,30.0,25,3,1,2
00e911748b493657615426ab251f7066,Unknown,-1.0,-1,-1,-1,-1
00ebc65042c5a5080eb2a994ff44a197,Street,34.0,25,3,1,2
00ebfbf1de5d15e28db31b540d5e5edb,Highway,32.0,30,3,4,-1
00ee13ce2ce9530b8545ca337c55e032,Street,20.0,40,3,3,-1
00ee38e477cab4761a18e3a619213a1e,Street,30.0,25,3,1,2
00efc99d7fbb2217580e5b3268052b50,Street,40.0,25,3,1,2
00f02e42c8100d82fd6e0220f3a8543a,Street,32.0,25,1,1,-1
00f0cb41951e28430fdefb3754026240,Street,30.0,25,3,1,2
00f1718e6d7e5184f003221292695e61,Street,30.0,25,3,1,2
00f2b6d14b49ff46085f0178c60a643b,Street,30.0,25,3,1,1
00f44e657f53234173c231b6fe069361,Street,20.0,-1,2,1,1
